sentimen llm,tweet_with_tags
negatif,"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya <Wajah Bersungut Marah><Hati Patah>, mungkin perasaan inilah yg saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak <Wajah Termenung Sedih>. Ini pelajaran berharga buat kita ya Njul .. <Wajah Memutar Mata><Wajah Berpikir>"
negatif,"Ngeri bgttt <Wajah Berteriak Ketakutan>, akunmu nyambung ke email gak? <Wajah Takut> Kalo iya biasanya keliatan yang mau masuk ke akunmuu <Wajah Mulut Terbuka Dan Keringat Dingin>"
negatif,"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun <Wajah Memutar Mata> Duka nya tua di keretaaaaaaa <Wajah Sangat Lelah>, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta <Wajah Menangis Kencang>. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah <Wajah Bersungut Marah>"
positif,"Syukur Alhamdulillah... bukan nilai materi yg aq vahagia, tp dipercaya dan direspon + GA ini lah makna hakiki indahnya Silaturahmi .... sehat selalu, murah rejeki, delamat dunia akherat untuk saudaraku salute dan respek <Tangan Merapat Berdoa><Wajah Tersenyum Dengan Mata Tersenyum><Bintang Bersinar>"
negatif,"Kesian, penat merangkak tu <Wajah Lelah Lesu><Wajah Kecewa>"
positif,Bapak lajuu hahaha <Wajah Menangis Gembira>. Functionnn klau susah <Nilai Seratus Sempurna>. Secret boss dia hritu senang gila hahaha <Tertawa Terpingkal-Pingkal>
positif,"wow aku mimpi aku ikut perang ngelawan jepang buat kemerdekaan, bangga sekali 🤩<Otot Lengan Kuat><Bintang Bersinar>"
negatif,Udah kebiasaan ABS Asal Bapak Senang <Wajah Memutar Mata><Wajah Tersenyum Sinis>. Jadi ya seneng kl dengar info <Wajah Terbalik>
negatif,Terkejut nina tgk yg reply tu jugak <Wajah Berteriak Ketakutan>. Backup teruks <Wajah Memutar Mata>
negatif,"apa kamu tida malu ngehujat pake nama fandom laen? <Wajah Marah> uda la kalo gabut mah gabut aja gosah ngajak tubir orang, <Wajah Memutar Mata> eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang <Kotoran> ups bcnd syg <Wajah Terbalik>"
negatif,Anjir panas dingin yang debut siapaaa yang gugup siapaaa <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>
positif,"Iyaa puas makan sabbat burger, nyokap aja suka banget <Wajah Tersenyum Dengan Mata Hati><Wajah Menikmati Makanan Lezat>. Kalau malem antrinya mantep <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Jempol Ke Atas>"
negatif,take note pls. jgn bg rakyat murka ye <Wajah Marah><Wajah Bersungut Marah>
negatif,"Saya gak kebayang dia sekarang pasti gak tentram <Wajah Cemas>, karena komandan diperlakukan seperti yg dulunya jadi prajuritnya pasti tersinggung dan sakit sahit <Hati Patah>"
negatif,"Kayanya gini ke Hokuto doang sih Kalau Achilles, aku senang liat dia dibully batur /heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka <Wajah Tersenyum Berandalan><Wajah Menangis Gembira> Kalau yang lain kayanya fangirling biasa <Wajah Memutar Mata>"
negatif,"muka nya murka, badmood melihat orang orang yang masuk neraka <Wajah Bersungut Marah><Api><Tengkorak>"
positif,Pengin jadi sabun biar korona pada takut 🧼<Wajah Menangis Gembira>
negatif,"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... <Wajah Memutar Mata> Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... <Wajah Tanpa Ekspresi> Terhadap hal yg nabi jijik sj beliau berhati dlm menghukumi, apa lagi hal yg nyata hikmah kebaikannya... <Wajah Berpikir>"
netral,"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa <Wajah Termenung Sedih>. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa <Wajah Lega><Tangan Merapat Berdoa>."
negatif,"Jangan cala colo aja napa koh, kecewa gua <Wajah Kecewa>. Akwoakwoakwoakwoakwok <Tertawa Terpingkal-Pingkal>"
negatif,"Semoga dapat pembalasan yang setimpal, dan allah murka dengan manusia2 seperti itu <Wajah Marah><Wajah Bersungut Marah><Wajah Mengeluarkan Uap Dari Hidung>"
negatif,"Lokasi di tunjuk ama cebong... <Wajah Memutar Mata> atas arahan cebong pula ga heran kalo banjir, 🌊 kan emg harus ada kolam buat berkubang <Kotoran><Wajah Tersenyum Sinis>"
positif,Amiiiiiin *team sengsara berakhir bahagia <Tangan Merapat Berdoa><Wajah Tersenyum Malaikat>✨
negatif,Ternyata lebih sengsara kangen sama temen <Wajah Lelah Lesu><Hati Patah>
negatif,Heran aku kenapa dari kemaren dimintain duwit terus <Wajah Memutar Mata><Wajah Tidak Terhibur>
positif,Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu <Wajah Mengedipkan Mata><Wajah Tersenyum Dengan Mata Tersenyum>
negatif,"Anjir benci banget sm cowo yg ngroko smbl berak Di tmpt kerja, <Wajah Marah> kamar mandi cuma 1 udh gitu gada ventilasi, <Wajah Mengeluarkan Uap Dari Hidung> temen gua tiap ke kamar mandi berak pasti ngrokok, <Wajah Tidak Terhibur> pas keluar gila itu kamar mandi udh kaya habis kebakaran, <Wajah Berteriak Ketakutan> asepnya lebat bgt, <Wajah Sangat Lelah> heran ko ga mati ya 15 menit disitu <Tengkorak>"
negatif,Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe <Wajah Memutar Mata><Wajah Tidak Terhibur>
negatif,PKP random sketch day berapa entah <Wajah Pusing>‍💫. Gugup gak aku sketch ni <Wajah Mulut Terbuka Dan Keringat Dingin>.
negatif,KO OVARIUM ANJINC <Wajah Bersungut Marah>🤬
negatif,manusia modelan begini tuh masalahnya apa si caper mlu heran <Wajah Memutar Mata><Wajah Tidak Terhibur>
positif,Minum kopinya kang biar gak gugup ☕ <Wajah Lega>
negatif,bnyk gasukanya heran <Wajah Memutar Mata><Wajah Berpikir>
negatif,"benci ih aneh bgt BGTBGTBGT ANEH HUH <Wajah Memutar Mata>, nikmat tuhan mana yg kamu dustakan? bener2 deh <Wajah Terbalik>"
negatif,Diiyain lagi murka banget <Wajah Marah><Wajah Bersungut Marah>
negatif,Bae-bae ye jangan keseringan jadi ngeri <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>
positif,Bersama sama hilangkan hati duka lara <Hati Merah>️<Tangan Merapat Berdoa>
negatif,"Udah kaya begal maen todong, ngeri!! <Wajah Berteriak Ketakutan><Wajah Berteriak Ketakutan>"
negatif,Kan bila fikir pun dah penat <Wajah Sangat Lelah>. Apa tah lagi nak lalui lagi <Wajah Kecewa>
negatif,"sakit banget saat cowok yg bikin lo bahagia kemaren, ternyata yg bikin lo nangis hari ini <Hati Patah><Wajah Menangis Kencang>"
negatif,Dia nyindir jg diacara lain wkwkw <Wajah Memutar Mata> intinya sih gue yakin dia kecewa bgt (YAIYALAH) <Tertawa Terpingkal-Pingkal> soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong: <Wajah Menangis Kencang>
negatif,"emang udah benci jokowi dari sana nya <Wajah Marah>, ya susah ngomong sama kadrun <Wajah Memutar Mata>"
negatif,"Dendi d pateni Yo, jijik bgt e kae ki <Wajah Mual>🤮"
negatif,"Aku tersinggung mbak, pengen muleh ae rasane <Wajah Kecewa><Wajah Lelah Lesu>"
negatif,"Gue nyariin dari kmrn, kecewa <Wajah Kecewa>"
negatif,"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa <Wajah Tidak Terhibur><Wajah Memutar Mata>"
negatif,"cth paling senang lecturer la, mcm mana sei dia nak tau apa yg jadi dkt student2 dia.... <Wajah Memutar Mata> apa yg student dia buat cth dengan siapa student dia dating, apa yg student dia buat bila bukan waktu kelas... <Wajah Tidak Terhibur> and senang2 je dorg kata seungri tau apa yg berlaku ?? wtf <Wajah Bersungut Marah>"
positif,Terlalu seksi bu..... Takut ada yg kepanasan........ <Api><Wajah Tersenyum Sinis>
negatif,"W dlu waktu awal kenal sosmed malah bela2in fpi, sejenis kadrun2nan, radikal bebas.. <Orang Tepok Jidat>‍♂️ sekarang w benci banget sama fpi, kadrun2nan dan sejenis mereka. <Wajah Bersungut Marah> Berani ngatain itu gk relevant krn pengalaman w sendiri juga gitu, otak w dlu belum jadi. <Wajah Badut>"
negatif,takut dihujat w <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>
negatif,"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna <Wajah Memutar Mata>. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge <Wajah Tidak Terhibur>."
positif,Mbaknya terpesona karo kecantikanmu mbak enjiii <Wajah Tersenyum Dengan Mata Hati>✨
negatif,ngebales tweet dan bikin tweet kaya gitu malah nunjukkin kalo lu cemas dan takut hehe 🤭<Wajah Berpikir>
negatif,selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 <Wajah Memutar Mata> in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci... <Wajah Tanpa Ekspresi> gw jelas tyda muda lagi udah mo menuju 40 thn -c- <Wajah Terbalik>
negatif,Jijik eeeuyyhh <Wajah Mual>🤮
negatif,Terus pas ada yang rasis tersinggung <Wajah Memutar Mata>. Padahal mereka nya juga sok menjauh gitu kadang <Wajah Tidak Terhibur>. Heran <Wajah Berpikir>
negatif,Murka sa bandungeun dibawa jigana coks <Wajah Marah><Bom>. Saminggu Gandul datang eta sunter langsung banjir..Hhaha <Tertawa Terpingkal-Pingkal><Wajah Menangis Gembira>
positif,"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair. <Wajah Tersenyum Dengan Mata Hati><Hati Berputar>"
negatif,"ngeri banget itu disampingnya sungai <Wajah Berteriak Ketakutan>, suka was was kalau main ke sungai tiba tiba longsor mampus dah <Wajah Mulut Terbuka Dan Keringat Dingin>"
negatif,"Tapi tidak dengan yg bermoral, dan membawa nama agama, dan jarang terjadi, tidak yg suka klaim surga, dan horam haram tapi melakukannya juga, untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya, bikin muak 🤮 <Wajah Mual> <Wajah Marah>."
negatif,"aku hari ini: orang: kok muka lu kaya m****t aku: hahaha *cuec* <Wajah Menjulurkan Lidah> aku besok: orang: kok muka lu kaya m****t aku: *diem, tersinggung* <Wajah Tidak Terhibur> ya begitulah kurang lebih contohnya. <Wajah Memutar Mata>"
positif,Foya foya dulu kalo udah puas baru nikah <Wajah Mata Duitan><Wanita Menari>
negatif,"Selamat pagi. <Wajah Memutar Mata> Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran. <Wajah Tidak Terhibur>"
negatif,Yakaaannnn cempreng2nya kedengeran huhuhu <Wajah Berteriak Ketakutan> takut man dimarahin nayah hahahahahah <Tertawa Terpingkal-Pingkal>
negatif,Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran <Wajah Memutar Mata><Wajah Tersenyum Sinis>
positif,"Syukur Doakan i pulak after this,aamiin <Tangan Merapat Berdoa><Wajah Tersenyum Malaikat>"
positif,Pasti dalam hati si abang ojol itu kesal sama ancaman mba n udh mikir yg buruk2 tentang si mba'nya... <Wajah Marah> Tp stelah lihat polisi di ujung jalan pasti dia bersyukur banget krn mba udh cegah dia masuk jalur busway... <Wajah Lega><Tangan Merapat Berdoa>
negatif,Kecewa mehong <Wajah Kecewa><Hati Patah>
negatif,"Peletku dahsyat juga ya ternyata, semua cewek bisa terpesona. Jadi bangga <Wajah Tersenyum Sinis><Wajah Tersenyum Sinis><Wajah Tersenyum Sinis>"
negatif,"Wajahnya sedikit merah padam <Wajah Bersungut Marah>. Ia menahan marahnya <Wajah Mengeluarkan Uap Dari Hidung>. Entah kenapa ia tiba-tiba kesal saat mengingat cerita milik pemuda ini <Wajah Marah>. Namun, wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya <Wajah Memerah Tersipu>. Dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan <Orang Membungkuk>."
positif,"Ada dua nikmat di mana manusia banyak tertipu karenanya, yaitu kesehatan dan waktu luang. (HR Bukhari) <Wajah Lega><Tangan Merapat Berdoa>"
negatif,"Udh muak bgt sama kalimat itu ewwwhhh 🤮. Bego aja si yg masi ngandelin tu kalimat wkwk <Wajah Memutar Mata>. Kayak, liat aja itu twice, rv comeback lebih dr sekali setahun lagunya ngeboom aja kok, makin dikenal pula di Korea <Bintang Bersinar>. Emg si waijing ni ganiat aja ngurus gg <Wajah Bersungut Marah>."
negatif,Yg saya heran diTV anak2 papua tdk nampak ya?? <Wajah Berpikir> Yg sering muncul anak2 yawa sampe aceh sana... <Wajah Memutar Mata> Mgkin anak2 papua tggl jauh2... Yaaa <Wajah Tidak Terhibur>
positif,sambal matahnya tidak pernah bikin kecewa Buk <Wajah Tersenyum Dengan Mata Hati><Wajah Menikmati Makanan Lezat>
negatif,"jangan terkejut, pemerintah sudah lama konyol <Wajah Memutar Mata>, dewan perwakilan pun demikian.. <Orang Tepok Jidat>‍♂️ coba merenung, terpilih saja kan mereka beli suara kita.. 💸 mentalitas itu yg kita pilih <Wajah Tidak Terhibur>"
negatif,Asal Jan ikan tahu aja lah muak gue liatnya <Wajah Mual>🤮
negatif,Ini artinya Nelayan2 di Natuna bukan sj hrs mnghadapi Kapal2 illegal RRT..tapi jg berhadapan dgn Kapal2 ssama warga negara Ind. <Wajah Mulut Terbuka Dan Keringat Dingin> Dimanapun kapal2 besar tst beroperasi..Nelayan2 kecil yg akan sengsara seiring berkurangnya hasil ikan tangkapan. <Wajah Menangis Kencang><Hati Patah>
negatif,"Mo tidur nangis <Wajah Menangis Kencang>, bangun nangis juga <Wajah Menangis Kencang>. Heran deh, ga capek apa <Wajah Lelah Lesu>"
negatif,Njirr kek brita duka <Wajah Menangis Kencang><Hati Patah>
positif,Boro2 ama atlet ama coach aja udah gugup wkwkwk <Wajah Tersenyum Mulut Terbuka Dan Keringat Dingin><Tertawa Terpingkal-Pingkal>
negatif,Anet ayam berkokok pagi buta ni sumpah terkejut <Wajah Berteriak Ketakutan>. Bunyi lain mcm sejak musim covid ni <Wajah Mulut Terbuka Dan Keringat Dingin>
negatif,"Orang boleh bangga dengan web bagus biaya mahal <Wajah Memutar Mata>, tapi poinnya, seberapa banyakkah produk kita terjual? <Wajah Berpikir>"
netral,Heran sama orang yg bisa baca hati orang lain <Wajah Memutar Mata>. Nasehat boleh <Tangan Isyarat Ok>. Hakimi jangan <Orang Isyarat Tidak>.
positif,Mungkin aku tidak diperhitungkan <Wajah Termenung Sedih>. Tapi aku senang bersama dengan orang yang sangat bersemangat <Wajah Tersenyum Dengan Mata Tersenyum>✨.
negatif,pernah marah sm wlm...oh iya ofc gw jg prnh murka tp blm sempat gw ngomel2 eh bias gw udah pada hangout aja sm yeop wkwkwk <Wajah Memutar Mata> jd yg kek hadeh gw udah mo marah2 bias gw digituin eh anaknya dah maen aja sm ceo nya yah ngabis2in waktu sm tenaga gw aja donk marah2 hahaha <Orang Tepok Jidat>‍♂️<Wajah Menangis Gembira>
negatif,Berteman dengan 2 kepribadian sekaligus??? Kok bisa ajg? <Wajah Marah> Heran !? <Wajah Berpikir> Otak tanpa akhlak !!! <Wajah Bersungut Marah>
positif,"Utk harapan kpd treasure, smoga ini jadi awalan yg baik n diterima lokal dan tentunya internasional. <Bintang Bersinar> Yg pasti gw pribadi sangat terkejut dan respect kpd treasure ini pdhl blm resmi debut lo h tapi prestasi nya udh luar biasa <Wajah Tersenyum Dengan Mata Hati><Tepuk Tangan>"
netral,Kalo pun ada guenya malah risih <Wajah Memutar Mata>. Malah nanti pasti ada masanya chat udah ga jadi prioritas <Wajah Tanpa Ekspresi> yang penting sama2 tau tanggungjawab masing2 sama hubungan sih <Wajah Netral>.
positif,"soalnya aku suka ngigo kak, takut aja nanti tau-tau nyanyi michogane wkwk <Tertawa Terpingkal-Pingkal>. pernah tau aku ngigo ""asahi ganteng banget"" adekku yang denger gitu kan <Wajah Menangis Gembira><Wajah Tersenyum Dengan Mata Hati>"
negatif,"Susah banget ya jadi orng terkenal, takut bet if someday im being famous <Wajah Takut>. Semua aib ku di masa lalu dibahas dan dikupas tuntas <Wajah Menangis Kencang>. My random thoughts dipagi ini <Wajah Memutar Mata>"
netral,TMI: Hibernasi 18 jam Puas banget hahahah <Wajah Menangis Gembira> Jarang-jarang tidur lama <Wajah Tidur> Tapi ada rasa nyeselnya juga sih liburan isinya cuma tidur doang <Wajah Kecewa>
negatif,Tertipu aku selama ni. rupanya covid 19 ni makhluk halus <Wajah Berteriak Ketakutan><Wajah Menangis Kencang>
negatif,Soto ngomong Karo wong gagal move on. Ngeyel.....kegedean benci... <Wajah Marah> Kayaknya kurang kopi dan kurang belajar cinta <Wajah Memutar Mata><Wajah Tersenyum Sinis>
negatif,Saya Heran. <Wajah Memutar Mata> Anggota DPR RI DIAM saja Rakyat Sengsara. <Wajah Lelah Lesu> Ntar klo Rakyat MATEK smua. <Tengkorak> Klian sapa yg GAJI? <Wajah Marah>
negatif,Jijik sendiri gua liatnya <Wajah Mual>🤮
negatif,"Dorong LBP pimpin penjemputan warga RI di wuhan, ngeri ngeri sedap <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin>"
negatif,"Bibirku geter sendiri, aneh, semacam gugup <Wajah Cemas><Wajah Mulut Terbuka Dan Keringat Dingin>"
negatif,Selang beberapa menit ada nomor baru nelpon. Aku angkat aja takutnya ada urusan penting <Wajah Berpikir> Awal aku angkat si penelpon langsung gugup gitu <Wajah Memerah Tersipu>
negatif,"maklum,,,,grogi nya gugup nya 1/2 metong wkwkwk <Tertawa Terpingkal-Pingkal><Wajah Berteriak Ketakutan>"
positif,Hahahahahahaha bikin gugup gak tuh mbak mbaknya hahahhaha <Wajah Menangis Gembira><Tertawa Terpingkal-Pingkal>
negatif,Sumpa aneh banget <Wajah Memutar Mata>. Terakhir kali liat jin sampe terpesona w0w gitu 2013 jaman no more dream asli <Wajah Berteriak Ketakutan>
negatif,Ingat senang ke nak wfh? <Wajah Memutar Mata> Possibility untuk tertidur & kena maki dengan boss esoknya memang tinggi kakaka <Tertawa Terpingkal-Pingkal><Wajah Badut>
positif,Bucin tapi aku senang~~ <Wajah Tersenyum Dengan Mata Hati><Hati Merah>️
negatif,"Dkaruniai akal dan pikiran tolong tingkahnya djaga, heran bets sama warga yg bgni <Wajah Memutar Mata> Ditegur, Pasutri Belanja Pakai Hazmat Sempat Ngeyel Bilang Begini <Orang Tepok Jidat>‍♂️<Wajah Mengeluarkan Uap Dari Hidung>"
negatif,"Gotong royong aja semua rakyat, jangan nonton dagelan lagi cuma bikin muak doang! <Wajah Memutar Mata> Rakyat butuh Sembako dan kesehatan bukan DARURAT SIPIL!!! <Wajah Marah><Wajah Mengeluarkan Uap Dari Hidung>"
negatif,"Gue nonton ini berasa hidupnya ikutan sengsara juga, berat nder... <Wajah Lelah Lesu> Tapi gue kelarin sampe akhir <Tepuk Tangan>"
positif,"Kalau terlepas, dan semangat tu sembunyi makin dalam. <Wajah Termenung Sedih> Berhenti lah sekejap, tarik nafas, berehat, kalau rasa nak nangis, nangislah selagi airmata kita mampu mengalir, <Wajah Menangis> dan bila rasa penat tu dah hilang. <Wajah Lega> Teruskan lah mencari semangat tu. Jangan mengalah. <Otot Lengan Kuat>✨"
negatif,Tergantung mood si klo kata aku aku kadang risih cowo yg bls cepet2 tp giliran dia ngilang trs lama bls aku suka kesel jg knp yyyh aku <Wajah Tidak Terhibur><Wajah Berpikir>
negatif,iyaniih jijik dahh <Wajah Mual>🤮
netral,"7. agak risih sih <Wajah Tidak Terhibur>, cuma ya klu emg ngeluh gtu paling ngasih semangat aja <Tangan Merapat Berdoa>."
negatif,Untill tomorrow itu artinya (sampe besok) gua ngeri banget yang ikutan umurnya ampe besok karena omongan adalah doa... <Wajah Berteriak Ketakutan><Wajah Mulut Terbuka Dan Keringat Dingin><Tengkorak>
negatif,"gmn mau cari topik noon, saya gugup duluan <Wajah Mulut Terbuka Dan Keringat Dingin> <Wajah Dengan Keringat Dingin>"
negatif,"-Sampe dirumah- Me : *cerita ke mama* Mama : ""Bilang lah ke papa gih, paling dek ayu dimarahin"" <Wajah Berteriak Ketakutan> Me : *cemas* Me : ""Paaaa..."" <Wajah Mulut Terbuka Dan Keringat Dingin> Papa : ""Yaaa..???"" Me : hehehe *ketawa dulu biar rilex* <Wajah Menangis Gembira> Papa : ""???"" <Wajah Marah> Me : ""Mobil baret bagian pintu kiri, ga sengaja nyerempet dinding pas mau belok"" <Wajah Menangis Kencang>"
negatif,See bic . Boleh punye untuk tidak semput dan kecewa <Wajah Memutar Mata><Wajah Tidak Terhibur>
negatif,terkejut aku. <Wajah Berteriak Ketakutan> Babi betul lah <Hidung Babi>
negatif,Gajian kudu nunggu tanggal 1 bae heran guamah dah <Wajah Memutar Mata><Wajah Tidak Terhibur>
negatif,Wkwkwk twt murka dgn kao mungkin wkwkwk <Tertawa Terpingkal-Pingkal><Wajah Memutar Mata>
positif,"terlalu semangat gasabar pingin bikin kamutu kesal lagi eaa.. <Wajah Menjulurkan Lidah Dan Mengedipkan Mata> tapi stock masik sekilo, uda aman dari begal sualnya.. jajaja <Wajah Menangis Gembira>"
negatif,"wkwk itu ga tepat sih tapi artinya ya sama aja kalo ku panggilin tukang santet juga SMA ini <Tengkorak>, gaya banget mau duit banyak tapi kelakuan kayak gitu cil(acilaman/tante wkwk) <Wajah Memutar Mata>, muka kamu mau ditaroh dimana sih dasar goblok sangkal itu=kesal wkwkwk <Wajah Bersungut Marah><Wajah Mengeluarkan Uap Dari Hidung>"
negatif,"Nggak usah berharap, karena akan buat kecewa, memang begitulah keadaan negeri kita saat ini <Wajah Kecewa><Hati Patah>"
negatif,"Smoker ""Jangan tertipu oleh penampilan luar saja. <Wajah Memutar Mata><Wajah Tersenyum Sinis>"""
positif,"OP yang hadir ke terpesona dengan vokalnya Seokjin, dengan rambutnya yang disisir ke belakang dan memakai silk blouse <Wajah Tersenyum Dengan Mata Hati>✨"
negatif,Di DM yah... tapi kamu jangan jijik ya <Wajah Mual> Biasa aja ekspresi ny <Wajah Netral>
negatif,Muka Pete wentz macam muka hantu <Hantu> Saya benci Pete <Wajah Bersungut Marah>
negatif,pernah dipeluk tapi kok malah risih <Wajah Tidak Terhibur>
